"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3303399,"September 8, 2025",Illinois,Chicago,"300 block of E 87th St",1,0,0,0,0,N/A
3303045,"September 6, 2025",Texas,Mathis,"800 block of Olivo St",1,0,0,0,0,N/A
3301711,"September 5, 2025",Louisiana,"Baton Rouge","4400 block of Sumrall Dr",1,0,0,0,0,N/A
3301434,"September 4, 2025",Indiana,Evansville,"800 block of E Cherry St",1,0,0,0,1,N/A
3301427,"September 3, 2025",Louisiana,Minden,"Dorcheat Rd",1,0,0,0,0,N/A
3298821,"September 1, 2025",Georgia,Columbus,"1700 Martin Luther King Junior Blvd",1,0,0,0,1,N/A
3299355,"September 1, 2025",Texas,Dallas,"6300 block of Parkdale Dr",1,0,0,0,1,N/A
3298818,"September 1, 2025",Georgia,Atlanta,"465 Mulberry Row SE",1,0,0,0,0,N/A
3298413,"August 30, 2025",Georgia,Brunswick,"2700 block of Altama Ave",1,0,0,0,1,N/A
3298780,"August 29, 2025",California,"Desert Hot Springs","13315 Ocotillo Rd",1,0,0,0,0,N/A
3292974,"August 24, 2025",Illinois,Chicago,"4441 S Greenwood Ave",1,0,0,0,0,N/A
3293268,"August 24, 2025",Ohio,Columbus,"300 block of E 1st Ave",1,1,0,0,0,N/A
3296061,"August 23, 2025",Nevada,"Las Vegas","1000 block of Nassau Dr",1,0,0,0,1,N/A
3290425,"August 19, 2025",Alabama,"Birmingham (Center Point)","713 24th Ave NW",1,0,0,0,0,N/A
3288818,"August 17, 2025",Texas,Spring,"23700 block of Pennington Hills Dr",1,0,0,0,1,N/A
3290706,"August 17, 2025",Georgia,Griffin,"749 Carver Rd",1,0,0,0,0,N/A
3288825,"August 16, 2025",Wyoming,Cheyenne,"215 Walterscheid Blvd",1,0,0,0,1,N/A
3288474,"August 16, 2025",Illinois,Hampshire,"100 block of High Ave",1,0,0,0,1,N/A
3287579,"August 15, 2025",Ohio,Struthers,"400 block of Spring St",1,0,0,0,0,N/A
3286639,"August 14, 2025",Texas,"San Antonio","326 S Flores St",1,0,0,0,1,N/A
3285544,"August 10, 2025",Oregon,Portland,"SE 170th Ave and SE Division S",1,0,0,0,1,N/A
3283950,"August 10, 2025",Arizona,Phoenix,"18405 N 27th Ave",1,0,0,0,0,N/A
3283747,"August 9, 2025",Louisiana,Shreveport,"500 block of W 74th St",1,0,0,0,0,N/A
3282881,"August 8, 2025",Alabama,Huntsville,"200 block of Dormont Dr NE",1,0,0,0,1,N/A
3283008,"August 8, 2025",Missouri,Springfield,"900 block of N Fulbright Ave",1,0,0,0,0,N/A
3282783,"August 8, 2025",California,Tustin,"13843 Tustin E Dr",1,0,0,0,0,N/A
3284794,"August 8, 2025",Tennessee,Nashville,"765 McMurray Dr",1,0,0,0,0,N/A
3282365,"August 7, 2025",Mississippi,Meridian,"3800 block of 44th St",1,0,0,0,0,N/A
3280070,"August 5, 2025",Indiana,Mishawaka,"500 block of E 12th St",1,0,0,0,1,N/A
3282341,"August 3, 2025",Florida,"Palm Harbor","31177 US-19 N",1,0,0,0,0,N/A
3278327,"August 3, 2025",Mississippi,Jackson,"3600 block of Lampton Ave",1,0,0,0,0,N/A
3278228,"August 2, 2025",Louisiana,"New Iberia","900 block of Ann St",1,0,0,0,0,N/A
3276574,"July 31, 2025",Illinois,Chicago,"7200 block of S California Ave",1,0,0,0,0,N/A
3274908,"July 29, 2025",Michigan,Canton,"8375 Honeytree Blvd",1,0,0,0,1,N/A
3275545,"July 29, 2025",Florida,Cortez,"12300 block of Baypointe Terrace",1,0,0,0,1,N/A
3272561,"July 25, 2025",Tennessee,Memphis,"810 Washington Ave",1,0,0,0,1,N/A
3272087,"July 25, 2025",Texas,"San Antonio","3500 block of Bob Billa St",1,0,0,0,1,N/A
3272123,"July 25, 2025","North Carolina",Greenville,"1115 Grovemont Dr",1,0,0,0,1,N/A
3272199,"July 25, 2025",Texas,Cleburne,"4000 block of N Main St",1,0,0,0,0,N/A
3270103,"July 23, 2025",Georgia,Decatur,"4400 block of Pleasant Point Dr",1,0,0,0,0,N/A
3268131,"July 21, 2025",Illinois,Waterloo,"5925 IL-3",1,0,0,0,1,N/A
