"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3303459,"September 8, 2025",California,Chico,"1400 block of E 7th St",0,0,0,1,1,N/A
3301184,"September 4, 2025",Washington,Seattle,"1009 E Pike St",0,1,0,0,0,N/A
3302076,"September 4, 2025",Illinois,Mundelein,N/A,0,1,0,0,0,N/A
3300736,"September 3, 2025","New York",Rochester,"Westmoreland Dr",0,2,0,0,0,N/A
3300349,"September 3, 2025",Florida,Seffner,"5400 block of Mango Rd",0,1,0,0,0,N/A
3300232,"September 3, 2025",Iowa,"Des Moines","Martin Luther King Jr Pkwy",0,1,0,0,0,N/A
3300785,"September 3, 2025",Tennessee,Memphis,"1400 block of Harlem St",0,1,0,0,0,N/A
3300779,"September 2, 2025",Tennessee,Memphis,"700 block of Avon Rd",0,1,0,0,0,N/A
3299517,"September 1, 2025","South Carolina",Summerville,"100 Lake Pointe Ave",0,1,0,0,0,N/A
3298785,"September 1, 2025",California,"North Hollywood (Valley Glen)","6400 block of Fulton Ave",0,1,0,0,1,N/A
3299016,"September 1, 2025",Tennessee,Nashville,"S 6th St and Sylvan St",0,1,0,0,0,N/A
3299945,"September 1, 2025",Mississippi,"Robinsonville (Tunica Resorts)","1147 Applevane Ln",1,0,0,0,0,N/A
3300004,"August 31, 2025","North Dakota",Williston,"5800 block of 141st Ave NW",0,1,0,0,0,N/A
3299449,"August 30, 2025",Virginia,Gainesville,"14081 Promenade Commons St",0,1,0,1,1,N/A
3297519,"August 29, 2025",California,"Los Angeles","200 N Main St",0,1,0,0,0,N/A
3297417,"August 29, 2025",Florida,"Fort Lauderdale","1600 block of NW Sixth Pl",0,1,0,0,0,N/A
3296520,"August 28, 2025","South Carolina",Easley,"115 Rolling Hills Cir",0,1,0,0,0,N/A
3296548,"August 28, 2025",Texas,"San Antonio","4039 E Houston St",0,1,1,0,0,N/A
3295430,"August 27, 2025",Michigan,Detroit,"19800  Schoenherr St",0,1,0,0,1,N/A
3297965,"August 27, 2025",Florida,Bunnell,"Mahogany Blvd and Hazelnut St",0,1,0,0,0,N/A
3295248,"August 26, 2025",Texas,Irving,"1000 block of E Irving Blvd",0,0,0,1,2,N/A
3294461,"August 25, 2025","New Jersey",Newark,"Clinton Pl and Irving Ave",0,1,0,0,0,N/A
3294339,"August 25, 2025",Texas,"San Antonio","Sahara Dr and Desert Sands Dr",0,1,0,0,0,N/A
3295403,"August 25, 2025",California,Salinas,"1000 block of Declaration St",0,1,0,0,1,N/A
3294165,"August 25, 2025",Louisiana,Alexandria,"1800 block of Kelly St",0,1,0,0,0,N/A
3295045,"August 25, 2025",California,Salinas,"1000 block of Declaration St",0,1,0,0,1,N/A
3293268,"August 24, 2025",Ohio,Columbus,"300 block of E 1st Ave",1,1,0,0,0,N/A
3294019,"August 24, 2025","West Virginia",Clarksburg,"W Pike St",0,1,0,0,0,N/A
3293712,"August 23, 2025",Florida,Orlando,"2600 block of Sheringham Rd",0,1,0,0,0,N/A
3293736,"August 23, 2025",Georgia,Valdosta,"1300 block of Willow Way",0,1,0,0,2,N/A
3292425,"August 23, 2025",Pennsylvania,"Drexel Hill","3700 block of Randolph St",0,1,0,0,0,N/A
3292298,"August 23, 2025",Mississippi,Lauderdale,N/A,0,1,0,0,0,N/A
3291760,"August 21, 2025","South Carolina",Bennettsville,"105 E Main St",0,1,0,0,0,N/A
3290981,"August 20, 2025",Michigan,Detroit,"Keller St and Harbaugh St",0,1,0,0,0,N/A
3291392,"August 19, 2025",Wisconsin,Kenosha,"1000 55th St",0,1,0,0,0,N/A
3290669,"August 19, 2025",Florida,Miami,"NE 31st St and N Miami Ave",0,1,0,0,1,N/A
3290482,"August 18, 2025",Mississippi,Philadelphia,"200 block of S Lewis Ave",0,1,0,0,0,N/A
3290510,"August 18, 2025",Colorado,"Grand Junction","N 12th St and North Ave",0,1,0,0,0,N/A
3288884,"August 17, 2025",Iowa,"Des Moines","100 block of SW 3rd St",0,1,0,0,0,N/A
3289405,"August 16, 2025",Wisconsin,Madison,"4200 block of E Towne Blvd",0,1,0,0,0,N/A
3291008,"August 16, 2025","New York",Stillwater,"Donnelly Ave",0,0,0,0,0,N/A
3288042,"August 16, 2025",Texas,"San Antonio","5800 block of Analissa St",0,1,0,0,0,N/A
3289829,"August 16, 2025",Texas,"San Antonio","20052 Applewhite Rd",0,1,0,0,0,N/A
3289633,"August 16, 2025",Tennessee,Memphis,"4800 block of S Mendenhall Rd",0,1,0,0,0,N/A
3294672,"August 16, 2025",Ohio,"Cleveland (Richmond Heights)","444 Richmond Park E",0,1,0,1,0,N/A
3287958,"August 15, 2025",Florida,Casselberry,"4700 S US Hwy 17 92",0,1,0,0,0,N/A
3288434,"August 15, 2025",Ohio,Columbus,"Brentnell Ave",0,1,0,0,0,N/A
3285853,"August 13, 2025",Minnesota,"Minneapolis (Brooklyn Center)","Winchester Ln and Indiana Ave N",0,1,0,0,0,N/A
3286474,"August 13, 2025","South Carolina","Parris Island","283 Blvd De France",0,1,0,0,0,N/A
3286612,"August 13, 2025",Kansas,Lawrence,"W 19th St and Naismith Dr",0,1,0,0,0,N/A
3285880,"August 12, 2025",Ohio,Cincinnati,"4000 block of Palos St",0,1,0,0,0,N/A
3285518,"August 12, 2025",Illinois,Chicago,"10011 S Bensley Ave",0,1,0,0,0,N/A
