"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3302422,"September 6, 2025",Texas,Mission,"2400 block of Venecia St",1,1,1,0,0,N/A
3301246,"September 3, 2025",Texas,Stafford,"13007 Lawrence Ln",1,1,1,0,0,N/A
3300090,"September 2, 2025",Arizona,Phoenix,"S 17th Ave and W Tonto St",0,2,0,1,0,N/A
3296602,"August 28, 2025",Kentucky,Walton,"13167 Service Rd",0,2,1,0,0,N/A
3296042,"August 28, 2025","New Mexico",Roswell,"614 E 6th St",0,2,0,1,1,N/A
3296706,"August 28, 2025",Arizona,Tucson,"S Country Club Rd and E 36th St",0,1,1,0,0,N/A
3295753,"August 27, 2025",Ohio,Chillicothe,"300 block of E Main St",0,1,0,1,0,N/A
3293038,"August 24, 2025",Utah,"Park City","Silver Summit Pkwy",0,1,0,0,1,N/A
3291834,"August 22, 2025","New York","Corona (Queens)","Whitestone Expy and 22nd Rd",0,1,0,0,1,N/A
3288713,"August 17, 2025","New York","New York (Manhattan)","89 E 42nd St",0,1,0,0,0,N/A
3288914,"August 17, 2025",Utah,Tremonton,"705 N 200 E",2,1,0,0,1,N/A
3288045,"August 16, 2025",Virginia,Blackstone,"US-460 and VA-153",0,1,1,0,0,N/A
3286347,"August 13, 2025",Virginia,Gretna,"100 block of Blue Jay Ln",0,3,0,0,1,N/A
3285665,"August 12, 2025",Minnesota,Minneapolis,"2509 Colfax Ave S",0,1,0,0,1,N/A
3282977,"August 9, 2025",Illinois,"Gibson City","100 block of Ash St",0,2,0,0,0,N/A
3283084,"August 9, 2025",Washington,Yakima,"1200 block of W Washington Ave",1,2,1,0,1,N/A
3282395,"August 8, 2025",Georgia,Centerville,"2922 Watson Blvd",0,1,1,0,0,N/A
3287611,"August 8, 2025","New York","Mount Vernon","2 Roosevelt Sq",0,1,0,0,0,N/A
3282401,"August 7, 2025",Georgia,Atlanta,"30 Alabama St SW",0,2,0,0,1,N/A
3281774,"August 7, 2025",Pennsylvania,Susquehanna,"20141 PA-171",1,2,1,0,0,N/A
3281735,"August 7, 2025",Ohio,Cleveland,"1900 block of N Taylor Rd",2,2,0,0,1,N/A
3281298,"August 6, 2025",Virginia,Chesapeake,"500 block of Willow Bridge Ct",1,2,0,0,1,N/A
3275570,"July 30, 2025",Florida,Tampa,"9330 N 30th St",0,1,1,0,0,N/A
3276887,"July 30, 2025",Texas,Houston,"10722 Wolsley Ct",0,1,0,1,0,N/A
3275073,"July 29, 2025",Indiana,Indianapolis,"W 16th St and Lafayette Rd",0,1,1,0,3,N/A
3275017,"July 29, 2025","South Carolina",Greenville,"2000 Wade Hampton Blvd",0,2,0,0,0,N/A
3274306,"July 28, 2025",Washington,Ferndale,"3200 block of N Red River Rd",0,1,0,0,1,N/A
3272279,"July 26, 2025",Alabama,Scottsboro,"US-72 and County Park Rd",0,1,0,0,1,N/A
3272471,"July 26, 2025","West Virginia","Berkeley Springs","Anderson Ct",0,1,0,1,1,N/A
3271873,"July 25, 2025",Texas,Houston,"5910 Hirsch Rd",0,1,0,0,0,N/A
3271230,"July 24, 2025",Florida,Largo,"10750 Ulmerton Rd",0,1,0,0,0,N/A
3270969,"July 24, 2025","New York","Bay Shore (North Bay Shore)","25 New York Ave",0,1,0,0,1,N/A
3269344,"July 23, 2025",Ohio,Lorain,"River Industrial Park Rd and River Bend Dr",1,2,1,0,0,N/A
3267392,"July 20, 2025",Ohio,Cleveland,"2379 E 40th St",0,1,0,1,0,N/A
3265437,"July 17, 2025",Texas,Houston,"Mykawa Rd and Almeda Genoa Rd",0,1,0,1,1,N/A
3263384,"July 14, 2025",Wyoming,Worland,US-20,0,1,1,0,0,N/A
3261500,"July 13, 2025",Kentucky,Lexington,"5899 Old Richmond Rd",2,3,1,0,0,N/A
3263056,"July 11, 2025",Louisiana,Rayne,N/A,0,1,0,0,0,N/A
3260607,"July 10, 2025",Alabama,Birmingham,"I-59 and Oporto Madrid Blvd",0,1,0,0,0,N/A
3265124,"July 10, 2025",Colorado,Pueblo,"3430 Skateboard Ln",0,3,0,0,4,N/A
3258837,"July 9, 2025",Florida,Jacksonville,"Norfolk Blvd and Soutel Dr",0,1,1,0,0,N/A
3255839,"July 7, 2025",Texas,"Corpus Christi","4657 Ocean Dr",0,1,0,1,1,N/A
3258535,"July 7, 2025",Texas,Brownwood,"300 block of Corrigan Ave",0,1,1,0,0,N/A
3254730,"July 7, 2025",Texas,Mcallen,"3000 W Military Hwy",0,1,1,0,0,N/A
3258469,"July 7, 2025",Colorado,Greeley,"2000 block of Talon Pkwy",0,1,0,1,0,N/A
3254041,"July 6, 2025","North Carolina",Charlotte,"640 N Church St",0,1,0,0,1,N/A
3253909,"July 5, 2025",California,"Los Angeles","3916 S Western Ave",0,1,0,0,1,N/A
3253489,"July 4, 2025",Texas,Alvarado,"1209 Sunflower Ln",0,1,0,0,11,N/A
3251894,"July 3, 2025",Wisconsin,"Milwaukee (Shorewood)","N Bartlett Ave and E Kenmore Pl",1,2,1,0,0,N/A
3252694,"July 3, 2025",Michigan,Detroit,"Neff Ave and Chester St",0,1,1,0,0,N/A
3250924,"July 1, 2025","North Carolina",Raleigh,"200 block of Benar Dr",0,1,0,1,0,N/A
3250373,"July 1, 2025","South Carolina",Lamar,"Old Timers Ct",1,1,1,0,0,N/A
3250860,"July 1, 2025",Iowa,Cascade,"US-151 and IA-136",0,1,1,0,0,N/A
3249288,"June 29, 2025",Pennsylvania,Philadelphia,"300 block of S Christopher Columbus Blvd",0,1,0,0,1,N/A
3247424,"June 27, 2025",Virginia,Chesapeake,"5313 Markview Ln",0,1,0,0,1,N/A
3248010,"June 27, 2025","North Carolina","Winston Salem (Winston-salem)","1037 Nancy Ln",0,1,1,0,0,N/A
3247046,"June 26, 2025",Wisconsin,Milwaukee,"2200 block of N 24th Place",1,1,0,0,1,N/A
3246320,"June 25, 2025",California,"Santa Monica","4th St and Colorado Ave",0,1,0,0,1,N/A
3244149,"June 24, 2025",Texas,Lubbock,"2526 Mac Davis Ln",0,2,1,0,0,N/A
3245235,"June 24, 2025",California,Ceres,"1601 Kinser Rd",0,1,0,0,0,N/A
3243289,"June 23, 2025",Florida,Ocala,"2900 block of S Pine Ave",0,1,0,1,1,N/A
