"Incident ID","Incident Date",State,"City Or County",Address,"Business/Location Name","Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3303531,"September 8, 2025",Florida,Ocala,"1330 SW 33rd Ave","College Park Elementary School",0,0,0,0,0,N/A
3303470,"September 8, 2025",California,Corona,"1150 Paseo Grande","Cesar Chavez Academy",0,0,0,0,1,N/A
3301540,"September 5, 2025",Virginia,Hampton,"522 Woodland Rd","Kecoughtan High School",0,0,0,0,1,N/A
3302557,"September 5, 2025",Texas,Odessa,"500 W 21st St",N/A,0,0,0,0,1,N/A
3303523,"September 4, 2025",Florida,"Palm Coast","5500 State Rte 100","Flagler Palm Coast High School",0,0,0,0,1,N/A
3301023,"September 4, 2025",Colorado,Denver,"1600 City Park Esplanade","Denver East High School",0,0,0,0,0,N/A
3300995,"September 4, 2025","South Carolina","Pawleys Island","2412 Kings River Rd","Waccamaw High School",0,0,0,0,1,N/A
3301554,"September 4, 2025",Georgia,Statesboro,"10 Coach Lee Hl Blvd","Statesboro High School",0,0,0,0,1,N/A
3301293,"September 4, 2025",Texas,Buda,"4800 Jack C Hays Trl","Jack C Hays High School",0,0,0,0,1,N/A
3301394,"September 4, 2025",Virginia,Waynesboro,"840 King Ave","William Perry Elementary School",0,0,0,0,0,N/A
3301344,"September 4, 2025","North Carolina",Charlotte,"8944 Cameron Blvd","University of North Carolina at Charlotte",0,0,0,0,0,N/A
3300605,"September 3, 2025",Indiana,Evansville,"700 N Garvin St","Delaware Elementary School",0,0,0,0,1,N/A
3301696,"September 3, 2025",Arizona,Phoenix,"4201 E Knox Rd","Mountain Pointe High School",0,0,0,0,1,N/A
3301787,"September 3, 2025",Nevada,"Las Vegas","307 Cannes St","Brown Junior High School",0,0,0,0,1,N/A
3300354,"September 3, 2025",Nevada,Henderson,"400 Palo Verde Dr","Basic Academy",0,0,0,0,1,N/A
3301010,"September 3, 2025",California,Bakersfield,"300 Galaxy Ave","North High School",0,0,0,0,1,N/A
3302174,"September 3, 2025","District of Columbia",Washington,"1776 G St NW","Goodwill Excel Center Public Charter School",0,0,0,0,1,N/A
3301419,"September 3, 2025","New Mexico",Belen,"1619 W Delgado Ave","Belen High School",0,0,0,0,1,N/A
3300265,"September 3, 2025",Maryland,Salisbury,"1015 Beaglin Park Dr","Parkside High School",0,0,0,0,1,N/A
